date,value,summary
03-01 12 PM,39.98,Drizzle
03-01 13 PM,40.69,Mostly Cloudy
03-01 14 PM,41.06,Mostly Cloudy
03-01 15 PM,40.27,Drizzle
03-01 16 PM,39.69,Light Rain
03-01 17 PM,38.38,Light Rain
03-01 18 PM,36.87,Drizzle
03-01 19 PM,35.15,Drizzle
03-01 20 PM,34.2,Drizzle
03-01 21 PM,33.52,Overcast
03-01 22 PM,33.18,Flurries
03-01 23 PM,32.67,Overcast
03-02 00 AM,31.97,Mostly Cloudy
03-02 01 AM,31.7,Mostly Cloudy
03-02 02 AM,31.39,Mostly Cloudy
03-02 03 AM,31.1,Mostly Cloudy
03-02 04 AM,30.74,Mostly Cloudy
03-02 05 AM,30.58,Mostly Cloudy
03-02 06 AM,30.29,Mostly Cloudy
03-02 07 AM,30.15,Flurries
03-02 08 AM,30.37,Flurries
03-02 09 AM,30.87,Flurries
03-02 10 AM,31.7,Flurries
03-02 11 AM,32.78,Overcast
03-02 12 PM,34.11,Overcast
03-02 13 PM,35.01,Overcast
03-02 14 PM,35.77,Overcast
03-02 15 PM,36.21,Drizzle
03-02 16 PM,35.63,Light Rain
03-02 17 PM,34.51,Light Rain
03-02 18 PM,33,Snow
03-02 19 PM,31.92,Snow
03-02 20 PM,31.4,Snow
03-02 21 PM,31.11,Light Snow
03-02 22 PM,30.75,Light Snow
03-02 23 PM,30.29,Mostly Cloudy
03-03 00 AM,29.67,Mostly Cloudy
03-03 01 AM,29.04,Partly Cloudy
03-03 02 AM,28.14,Partly Cloudy
03-03 03 AM,27.02,Clear
03-03 04 AM,25.86,Clear
03-03 05 AM,24.62,Clear
03-03 06 AM,23.39,Clear
03-03 07 AM,22.6,Clear
03-03 08 AM,22.45,Clear
03-03 09 AM,22.98,Clear
03-03 10 AM,23.88,Clear
03-03 11 AM,25.13,Clear
03-03 12 PM,26.45,Clear
